month,Circulating supply (SC),token rewards (SC),token rewards relative to token supply,avg. price ($),token rewards ($),avg #hosts,storage supply (TB),avg storage utilization
2015-08,"4,674,847,955","140,259,539",0.20%,0.001,"115,135.05",,,
2015-09,"5,345,941,847","697,973,223",1.02%,0.000,"22,765.74",,,
2015-10,"6,448,308,350","1,102,366,503",1.61%,0.000,"40,286.16",,,
2015-11,"7,570,712,394","1,122,404,044",1.64%,0.000,"28,823.34",,,
2015-12,"8,758,695,849","1,187,983,455",1.73%,0.000,"20,180.39",,,
2016-01,"9,842,187,794","1,083,491,945",1.58%,0.000,"23,825.61",,,
2016-02,"11,014,124,745","1,171,936,951",1.71%,0.000,"75,226.23",,,
2016-03,"12,183,620,045","1,169,495,300",1.71%,0.000,"127,580.62",,,
2016-04,"13,333,898,030","1,150,277,985",1.68%,0.000,"120,250.06",,,
2016-05,"14,510,838,609","1,176,940,579",1.72%,0.000,"208,276.72",,,
2016-06,"15,705,201,569","1,194,362,960",1.74%,0.001,"820,368.11",,,
2016-07,"16,860,757,704","1,155,556,135",1.69%,0.001,"806,503.63",,,
2016-08,"17,949,118,899","1,088,361,195",1.59%,0.001,"554,467.37",,,
2016-09,"18,981,353,097","1,032,234,198",1.51%,0.000,"508,581.79",,,
2016-10,"19,987,245,720","1,005,892,623",1.47%,0.000,"436,784.54",,,
2016-11,"20,904,207,899","916,962,179",1.34%,0.000,"281,048.91",,,
2016-12,"21,883,027,269","978,819,370",1.43%,0.000,"208,078.05",,,
2017-01,"22,867,647,972","984,620,703",1.44%,0.000,"315,872.67",,,
2017-02,"23,712,774,384","845,126,412",1.23%,0.000,"304,607.71",,,
2017-03,"24,628,943,372","916,168,988",1.34%,0.000,"395,991.88",,,
2017-04,"25,521,606,000","892,662,628",1.30%,0.001,"688,867.75",,,
2017-05,"26,471,543,747","949,937,747",1.39%,0.005,"4,372,471.52",,,
2017-06,"27,369,767,469","898,223,722",1.31%,0.015,"13,596,711.89",,,
2017-07,"28,220,403,972","850,636,503",1.24%,0.009,"8,046,198.12",,,
2017-08,"29,029,820,160","809,416,188",1.18%,0.008,"6,438,775.23",,,
2017-09,"29,749,275,372","719,455,212",1.05%,0.006,"4,347,188.21",637,"3,061.38",3%
2017-10,"30,519,108,347","769,832,975",1.12%,0.004,"3,255,896.82",735,"3,189.46",3%
2017-11,"31,255,081,299","735,972,952",1.07%,0.004,"3,243,678.12",845,"2,993.28",3%
2017-12,"31,873,208,535","618,127,236",0.90%,0.016,"10,061,715.63",724,"3,362.22",3%
2018-01,"32,181,983,559","308,775,024",0.45%,0.050,"15,372,015.95",773,"3,544.52",3%
