Date,month_timeline rewards,Annualized Inflation (Est. APR),AKT Mined (Est.),AKT Supply (Est.),Genesis AKT In Circulation (Vested),AKT Circulating Supply (Est),tokenunlock genesis AKT,circulating_supply,onetime mint,token rewards (AKT) (delta circ_supply - onetime mints),annualized inflation from rewards,$-price,token rewards ($)
Sep 2020,,54.00%,0,"100,000,000","2,800,000","2,800,000",,,,,,,
Oct 2020,0,53.58%,"4,465,091","104,465,091","15,271,176","19,736,267","12,471,176","5,921,232",2800000,"3,121,232",,0.40,"1,247,905.58"
Nov 2020,1,50.50%,"4,395,995","108,861,086","15,271,176","24,132,262",,"24,587,705","14,792,131","3,874,342",44.50%,0.47,"1,833,609.12"
Dec 2020,2,47.71%,"4,327,967","113,189,053","15,271,176","28,460,229",,"29,188,489",,"4,600,784",50.72%,0.77,"3,553,835.04"
Jan 2021,3,45.17%,"4,260,993","117,450,046","15,271,176","32,721,222",,"33,945,045",,"4,756,556",50.43%,1.15,"5,463,882.74"
Feb 2021,4,42.86%,"4,195,055","121,645,101","15,271,176","36,916,277",,"38,340,306",,"4,395,261",44.91%,3.32,"14,596,856.00"
Mar 2021,5,40.74%,"4,130,137","125,775,238","15,271,176","41,046,414",,"43,365,743",,"5,025,437",49.57%,5.42,"27,239,117.71"
Apr 2021,6,38.80%,"4,066,224","129,841,461","22,742,351","52,583,812","7,471,175","55,026,091","7,471,175.00","4,189,173",39.97%,6.28,"26,321,834.45"
May 2021,7,37.00%,"4,003,300","133,844,761","22,742,351","56,587,112",,"61,205,659",,"6,179,568",57.11%,4.51,"27,869,686.91"
Jun 2021,8,35.34%,"3,941,349","137,786,110","22,742,351","60,528,461",,"66,154,600",,"4,948,941",44.37%,3.34,"16,547,608.76"
Jul 2021,9,33.79%,"3,880,358","141,666,468","22,742,351","64,408,819",,"71,736,484",,"5,581,884",48.61%,2.90,"16,169,458.28"
Aug 2021,10,32.36%,"3,820,310","145,486,778","22,742,351","68,229,129",,"76,484,608",,"4,748,125",40.22%,2.86,"13,573,509.92"
Sep 2021,11,31.02%,"3,761,191","149,247,969","50,997,745","100,245,714","28,255,394","110,223,818","28,255,394.00","5,483,815",45.23%,4.43,"24,271,366.03"
Oct 2021,12,29.77%,"3,702,987","152,950,956","50,997,745","103,948,701",,"114,861,095",,"4,637,277",37.29%,3.00,"13,929,781.45"
Nov 2021,13,28.60%,"3,645,684","156,596,641","50,997,745","107,594,386",,"119,247,202",,"4,386,107",34.41%,2.53,"11,091,003.50"
