month,rewards,planned,reward pool,avg price,$rewards
2023-03,"297,750","297,750","10,000,000",0.15,"44,663"
2023-04,"288,884","288,884","9,702,250",0.15,"43,333"
2023-05,"280,283","280,283","9,413,366",0.18,"50,629"
2023-06,"271,938","271,938","9,133,083",0.31,"85,017"
2023-07,"263,841","263,841","8,861,145",0.42,"111,017"
2023-08,"255,985","255,985","8,597,304",0.61,"155,171"
2023-09,"248,363","248,363","8,341,320",0.57,"141,709"
2023-10,"240,968","240,968","8,092,957",0.99,"239,213"
2023-11,"233,793","233,793","7,851,989",1.39,"324,461"
2023-12,"226,832","226,832","7,618,196",0.80,"181,221"
2024-01,"220,078","220,078","7,391,364",0.91,"201,317"
2024-02,"213,525","213,525","7,171,286",1.09,"233,467"
2024-03,"207,167","207,167","6,957,761",2.53,"523,581"
2024-04,"200,999","200,999","6,750,594",2.76,"554,123"
2024-05,"195,014","195,014","6,549,595",2.14,"417,580"
2024-06,"189,208","189,208","6,354,581",1.60,"303,242"
2024-07,"183,574","183,574","6,165,373",1.32,"242,524"
2024-08,"178,108","178,108","5,981,799",0.98,"174,262"
2024-09,"172,805","172,805","5,803,691",0.89,"153,673"
2024-10,"167,660","167,660","5,630,886",0.97,"162,495"
2024-11,"162,668","162,668","5,463,227",1.14,"184,922"
2024-12,"157,824","157,824","5,300,559",1.72,"270,849"
2025-01,"153,125","153,125","5,142,735",1.35,"206,871"
