,,,,,,,,,
Month,Monthcount in analysis,250000,daily issuance,cumulative,relative,price,$rewards,rewards in BTC,nodes
11/2021,,"64,800",7200,"314,800",0.31%,,,,
12/2021,,"223,200",7200,"538,000",1.06%,,,,
01/2022,,"223,200",7200,"761,200",1.06%,,,,
02/2022,,"201,600",7200,"962,800",0.96%,,,,
03/2022,,"223,200",7200,"1,186,000",1.06%,,,,
04/2022,,"216,000",7200,"1,402,000",1.03%,,,,
05/2022,,"223,200",7200,"1,625,200",1.06%,,,,
06/2022,,"216,000",7200,"1,841,200",1.03%,,,,
07/2022,,"223,200",7200,"2,064,400",1.06%,,,,
08/2022,,"223,200",7200,"2,287,600",1.06%,,,,
09/2022,,"216,000",7200,"2,503,600",1.03%,,,,
10/2022,,"223,200",7200,"2,726,800",1.06%,,,,
11/2022,,"216,000",7200,"2,942,800",1.03%,,,,
12/2022,,"223,200",7200,"3,166,000",1.06%,,,,
01/2023,,"223,200",7200,"3,389,200",1.06%,,,,
02/2023,,"201,600",7200,"3,590,800",0.96%,,,,
03/2023,0,"223,200",7200,"3,814,000",1.06%,79.54,"17,754,436",711,"224,001"
04/2023,1,"208,801",7200,"4,022,801",0.99%,55.96,"11,683,539",405,"154,591"
05/2023,2,"216,000",7200,"4,238,801",1.03%,46.37,"10,015,483",363,"138,909"
06/2023,3,"208,787",7200,"4,447,588",0.99%,52.77,"11,017,729",398,"108,382"
07/2023,4,"215,983",7200,"4,663,571",1.03%,66.26,"14,310,724",476,"83,487"
08/2023,5,"215,974",7200,"4,879,545",1.03%,63.53,"13,720,601",491,"106,283"
09/2023,6,"202,191",7200,"5,081,736",0.96%,53.06,"10,727,472",408,"101,395"
10/2023,7,"215,969",7200,"5,297,705",1.03%,55.58,"12,004,518",407,"23,063"
11/2023,8,"207,848",7200,"5,505,553",0.99%,178.76,"37,155,475","1,018","16,268"
12/2023,9,"214,036",7200,"5,719,589",1.02%,314.27,"67,265,481","1,586","18,462"
01/2024,10,"207,619",7200,"5,927,208",0.99%,272.03,"56,479,349","1,317","15,950"
02/2024,11,"197,106",7200,"6,124,314",0.94%,554.07,"109,210,899","2,218","14,864"
03/2024,12,"198,748",7200,"6,323,062",0.95%,634.65,"126,134,889","1,871","15,427"
04/2024,13,"176,128",7200,"6,499,190",0.84%,514.27,"90,577,019","1,367","14,961"
05/2024,14,"214,518",7200,"6,713,708",1.02%,403.9,"86,644,307","1,332","14,783"
06/2024,15,"207,951",7200,"6,921,659",0.99%,326.98,"67,995,420","1,029","14,460"
07/2024,16,"206,420",7200,"7,128,079",0.98%,289.32,"59,720,684",952,"11,851"
08/2024,17,"212,879",7200,"7,340,958",1.01%,288.52,"61,420,512","1,022","14,297"
09/2024,18,"208,311",7200,"7,549,269",0.99%,362.18,"75,445,138","1,253","14,788"
10/2024,19,"215,649",7200,"7,764,918",1.03%,564.66,"121,767,357","1,863","14,773"
11/2024,20,"208,225",7200,"7,973,143",0.99%,516.27,"107,500,374","1,255","14,522"
12/2024,21,"215,951",7200,"8,189,094",1.03%,556.67,"120,213,427","1,222","14,698"
01/2025,22,"194,396",7200,"8,383,490",0.93%,456.72,"88,784,202",891,"15,904"
