Month,Monthly token rewards (CQT),Monthly token rewards (relative to max supply),Monthly token rewards ($),Cumulative token rewards $,Annualized staking APR,$-price,staked CQT ,staked CQT in $
05/2022,"165,705.93",0.02%,"30,108.00","30,108.00",23%,0.182,"8,530,762.18","1,550,000.00"
06/2022,"584,493.76",0.06%,"69,554.00","99,662.00",13%,0.119,"55,462,789.03","6,600,000.00"
07/2022,"119,514.06",0.01%,"13,338.00","113,000.00",2%,0.112,"87,238,630.70","9,736,000.00"
08/2022,"12,556.04",0.00%,"1,000.00","114,000.00",0%,0.080,"123,312,898.49","9,821,000.00"
09/2022,"44,484.55",0.00%,"3,000.00","117,000.00",0%,0.067,"147,688,718.78","9,960,000.00"
10/2022,"8,445.85",0.00%,700.00,"117,700.00",0%,0.083,"121,149,634.08","10,041,000.00"
11/2022,"103,201.66",0.01%,"10,300.00","128,000.00",1%,0.100,"100,195,785.54","10,000,000.00"
12/2022,"1,881,912.91",0.19%,"185,700.00","313,700.00",22%,0.099,"103,976,448.28","10,260,000.00"
01/2023,"771,211.14",0.08%,"86,300.00","400,000.00",47%,0.112,"19,677,948.23","2,202,000.00"
02/2023,"265,073.37",0.03%,"40,000.00","440,000.00",14%,0.151,"23,048,129.37","3,478,000.00"
03/2023,"88,482.20",0.01%,"14,000.00","454,000.00",4%,0.158,"30,083,946.87","4,760,000.00"
04/2023,"888,675.80",0.09%,"147,374.00","601,374.00",30%,0.166,"36,096,009.76","5,986,000.00"
