month,rewards,price,$rewards,rewards in bTC,cars
2022-12,2251252,0.04,"$91,527",5.39,"2,310"
2023-01,5598190,0.06,"$327,720",16.35,"3,662"
2023-02,4465295,0.12,"$525,316",22.54,"5,336"
2023-03,4462858,0.07,"$328,647",13.15,"6,389"
2023-04,4463342,0.14,"$639,356",22.17,"8,963"
2023-05,5583359,0.17,"$975,133",35.37,"12,494"
2023-06,4467415,0.14,"$631,350",22.83,"15,250"
2023-07,5338195,0.11,"$605,189",20.11,"18,796"
2023-08,4241935,0.08,"$359,648",12.87,"21,267"
2023-09,4259400,0.09,"$397,152",15.12,"22,823"
2023-10,5399299,0.09,"$469,311",15.91,"23,922"
2023-11,4419897,0.09,"$404,128",11.07,"24,938"
2023-12,3943385,0.29,"$1,155,958",27.26,"30,307"
2024-01,4758244,0.46,"$2,169,874",50.58,"39,803"
2024-02,3809440,0.46,"$1,755,582",35.66,"53,146"
2024-03,3631177,0.47,"$1,724,130",25.58,"73,436"
2024-04,4285805,0.34,"$1,467,057",22.14,"81,096"
2024-05,3521377,0.24,"$829,419",12.75,"85,752"
2024-06,3740781,0.18,"$672,915",10.19,"94,532"
2024-07,4684645,0.17,"$799,555",12.74,"102,142"
2024-08,3732651,0.15,"$541,593",9.01,"108,144"
2024-09,4660464,0.16,"$767,546",12.75,"113,127"
2024-10,3726538,0.14,"$540,237",8.27,"116,290"
2024-11,3713586,0.16,"$605,502",7.07,"119,271"
2024-12,4102222,0.21,"$860,868",8.75,"132,764"
2025-01,2378847,0.15,"$365,582",3.67,"158,507"
