stateTime,Total FIL Burned,Total FIL Locked
"2020-10-15","41.51","141.80"
"2020-10-16","38.16","131.61"
"2020-10-17","35.28","123.00"
"2020-10-18","32.81","115.66"
"2020-10-19","30.66","109.27"
"2020-10-20","28.78","103.75"
"2020-10-21","27.14","98.94"
"2020-10-22","25.67","94.57"
"2020-10-23","24.35","90.14"
"2020-10-24","23.14","86.24"
"2020-10-25","22.05","82.92"
"2020-10-26","21.71","79.36"
"2020-10-27","20.85","76.68"
"2020-10-28","20.00","74.32"
"2020-10-29","19.26","72.16"
"2020-10-30","18.55","70.20"
"2020-10-31","17.91","68.37"
"2020-11-01","17.29","66.72"
"2020-11-02","16.71","65.18"
"2020-11-03","16.17","63.70"
"2020-11-04","15.68","62.38"
"2020-11-05","15.23","61.15"
"2020-11-06","14.79","59.98"
"2020-11-07","14.38","58.94"
"2020-11-08","13.99","57.96"
"2020-11-09","13.62","57.02"
"2020-11-10","13.30","56.21"
"2020-11-11","13.03","55.41"
"2020-11-12","12.85","54.63"
"2020-11-13","12.66","53.96"
"2020-11-14","12.55","53.30"
"2020-11-15","12.39","52.68"
"2020-11-16","12.20","52.08"
"2020-11-17","12.13","51.52"
"2020-11-18","12.09","51.06"
"2020-11-19","12.09","50.62"
"2020-11-20","12.08","50.21"
"2020-11-21","11.89","49.75"
"2020-11-22","11.90","49.33"
"2020-11-23","11.73","48.89"
"2020-11-24","11.50","48.30"
"2020-11-25","10.03","42.49"
"2020-11-26","9.92","42.39"
"2020-11-27","10.03","42.33"
"2020-11-28","10.17","42.28"
"2020-11-29","10.14","42.24"
"2020-11-30","10.28","42.18"
"2020-12-01","10.45","42.16"
"2020-12-02","10.67","42.17"
"2020-12-03","10.87","42.19"
"2020-12-04","10.87","42.21"
"2020-12-05","11.07","42.23"
"2020-12-06","11.25","42.27"
"2020-12-07","11.36","42.30"
"2020-12-08","11.58","42.36"
"2020-12-09","11.84","42.39"
"2020-12-10","12.00","42.45"
"2020-12-11","12.30","42.55"
"2020-12-12","12.58","42.64"
"2020-12-13","12.81","42.71"
"2020-12-14","13.05","42.77"
"2020-12-15","13.34","42.86"
"2020-12-16","13.62","42.91"
"2020-12-17","13.85","42.97"
"2020-12-18","14.03","43.01"
"2020-12-19","14.06","42.86"
"2020-12-20","14.00","42.66"
"2020-12-21","14.04","42.65"
"2020-12-22","14.18","42.65"
"2020-12-23","14.39","42.69"
"2020-12-24","14.55","42.73"
"2020-12-25","14.78","42.80"
"2020-12-26","14.94","42.85"
"2020-12-27","15.09","42.90"
"2020-12-28","15.25","42.94"
"2020-12-29","15.41","42.99"
"2020-12-30","15.59","43.04"
"2020-12-31","15.78","43.09"
"2021-01-01","15.95","43.15"
"2021-01-02","16.05","43.20"
"2021-01-03","16.24","43.25"
"2021-01-04","16.33","43.27"
"2021-01-05","16.43","43.30"
"2021-01-06","16.60","43.35"
"2021-01-07","16.78","43.40"
"2021-01-08","17.00","43.47"
"2021-01-09","17.06","43.50"
"2021-01-10","17.10","43.51"
"2021-01-11","17.09","43.51"
"2021-01-12","17.10","43.51"
"2021-01-13","17.23","43.54"
"2021-01-14","17.41","43.62"
"2021-01-15","17.57","43.68"
"2021-01-16","17.64","43.73"
"2021-01-17","17.84","43.80"
"2021-01-18","17.92","43.85"
"2021-01-19","18.02","43.89"
"2021-01-20","18.04","43.91"
"2021-01-21","18.02","43.91"
"2021-01-22","18.00","43.94"
"2021-01-23","18.11","44.02"
"2021-01-24","18.18","44.09"
"2021-01-25","18.23","44.15"
"2021-01-26","18.34","44.23"
"2021-01-27","18.43","44.33"
"2021-01-28","18.52","44.42"
"2021-01-29","18.62","44.50"
"2021-01-30","18.63","44.57"
"2021-01-31","18.70","44.66"
"2021-02-01","18.75","44.74"
"2021-02-02","18.84","44.83"
"2021-02-03","18.92","44.92"
"2021-02-04","18.99","45.00"
"2021-02-05","19.06","45.08"
"2021-02-06","19.18","45.19"
"2021-02-07","19.27","45.30"
"2021-02-08","19.29","45.37"
"2021-02-09","19.36","45.47"
"2021-02-10","19.45","45.57"
"2021-02-11","19.43","45.62"
"2021-02-12","19.42","45.67"
"2021-02-13","19.39","45.72"
"2021-02-14","19.27","45.74"
"2021-02-15","19.14","45.77"
"2021-02-16","19.07","45.80"
"2021-02-17","19.05","45.85"
"2021-02-18","19.14","45.95"
"2021-02-19","19.21","46.03"
"2021-02-20","19.13","46.07"
"2021-02-21","19.20","46.17"
"2021-02-22","19.12","46.22"
"2021-02-23","19.15","46.30"
"2021-02-24","19.26","46.41"
"2021-02-25","19.28","46.50"
"2021-02-26","19.24","46.58"
"2021-02-27","19.30","46.67"
"2021-02-28","19.34","46.69"
"2021-03-01","19.24","46.71"
"2021-03-02","19.29","46.80"
"2021-03-03","19.19","46.81"
"2021-03-04","19.06","46.86"
"2021-03-05","19.04","47.01"
"2021-03-06","19.05","47.17"
"2021-03-07","19.09","47.33"
"2021-03-08","19.07","47.47"
"2021-03-09","19.15","47.63"
"2021-03-10","19.14","47.78"
"2021-03-11","19.12","47.92"
"2021-03-12","19.08","48.05"
"2021-03-13","19.02","48.18"
"2021-03-14","18.99","48.31"
"2021-03-15","18.95","48.44"
"2021-03-16","18.95","48.59"
"2021-03-17","18.88","48.72"
"2021-03-18","18.84","48.86"
"2021-03-19","18.79","48.99"
"2021-03-20","18.73","49.13"
"2021-03-21","18.73","49.29"
"2021-03-22","18.65","49.42"
"2021-03-23","18.82","49.62"
"2021-03-24","18.91","49.76"
"2021-03-25","18.86","49.87"
"2021-03-26","18.87","50.01"
"2021-03-27","18.88","50.17"
"2021-03-28","18.90","50.34"
"2021-03-29","18.95","50.52"
"2021-03-30","18.91","50.68"
"2021-03-31","18.86","50.84"
"2021-04-01","18.83","51.00"
"2021-04-02","18.85","51.18"
"2021-04-03","18.78","51.31"
"2021-04-04","18.80","51.49"
"2021-04-05","18.84","51.66"
"2021-04-06","18.87","51.82"
"2021-04-07","18.91","51.99"
"2021-04-08","18.92","52.16"
"2021-04-09","18.95","52.32"
"2021-04-10","19.04","52.49"
"2021-04-11","19.10","52.65"
"2021-04-12","19.02","52.69"
"2021-04-13","19.14","52.86"
"2021-04-14","19.19","53.01"
"2021-04-15","19.23","53.15"
"2021-04-16","19.33","53.35"
"2021-04-17","19.44","53.65"
"2021-04-18","19.53","53.90"
"2021-04-19","19.61","54.16"
"2021-04-20","19.70","54.43"
"2021-04-21","19.75","54.67"
"2021-04-22","19.90","54.95"
"2021-04-23","20.05","55.23"
"2021-04-24","20.11","55.48"
"2021-04-25","20.11","55.68"
"2021-04-26","20.17","55.90"
"2021-04-27","20.22","56.13"
"2021-04-28","20.20","56.26"
"2021-04-29","20.18","56.41"
"2021-04-30","20.28","56.64"
"2021-05-01","20.34","56.85"
"2021-05-02","20.39","57.02"
"2021-05-03","20.35","57.16"
"2021-05-04","20.38","57.34"
"2021-05-05","20.44","57.54"
"2021-05-06","20.40","57.67"
"2021-05-07","20.38","57.82"
"2021-05-08","20.33","57.94"
"2021-05-09","20.31","58.09"
"2021-05-10","20.29","58.24"
"2021-05-11","20.26","58.36"
"2021-05-12","20.26","58.52"
"2021-05-13","20.25","58.66"
"2021-05-14","20.34","58.84"
"2021-05-15","20.42","59.02"
"2021-05-16","20.43","59.17"
"2021-05-17","20.46","59.32"
"2021-05-18","20.44","59.45"
"2021-05-19","20.44","59.58"
"2021-05-20","20.50","59.73"
"2021-05-21","20.54","59.88"
"2021-05-22","20.56","60.01"
"2021-05-23","20.50","60.10"
"2021-05-24","20.47","60.19"
"2021-05-25","20.47","60.30"
"2021-05-26","20.42","60.38"
"2021-05-27","20.37","60.45"
"2021-05-28","20.34","60.52"
"2021-05-29","20.30","60.59"
"2021-05-30","20.24","60.63"
"2021-05-31","20.18","60.68"
"2021-06-01","20.11","60.72"
"2021-06-02","20.05","60.80"
"2021-06-03","20.01","60.83"
"2021-06-04","19.95","60.88"
"2021-06-05","19.91","60.93"
"2021-06-06","19.86","60.98"
"2021-06-07","19.81","61.03"
"2021-06-08","19.77","61.08"
"2021-06-09","19.75","61.13"
"2021-06-10","19.75","61.19"
"2021-06-11","19.75","61.25"
"2021-06-12","19.73","61.29"
"2021-06-13","19.71","61.32"
"2021-06-14","19.66","61.35"
"2021-06-15","19.62","61.37"
"2021-06-16","19.59","61.40"
"2021-06-17","19.56","61.43"
