stateTime,Total FIL Mined,Total FIL Vested
"2020-10-15","79.39","3.56"
"2020-10-16","74.41","11.72"
"2020-10-17","70.18","18.62"
"2020-10-18","66.58","24.54"
"2020-10-19","63.43","29.66"
"2020-10-20","60.71","34.15"
"2020-10-21","58.33","38.12"
"2020-10-22","56.16","41.64"
"2020-10-23","53.97","44.72"
"2020-10-24","51.99","47.50"
"2020-10-25","50.38","50.02"
"2020-10-26","48.96","52.33"
"2020-10-27","47.66","54.44"
"2020-10-28","46.48","56.38"
"2020-10-29","45.40","58.19"
"2020-10-30","44.42","59.85"
"2020-10-31","43.54","61.39"
"2020-11-01","42.70","62.83"
"2020-11-02","41.95","64.16"
"2020-11-03","41.24","65.39"
"2020-11-04","40.60","66.56"
"2020-11-05","40.00","67.67"
"2020-11-06","39.44","68.70"
"2020-11-07","38.92","69.69"
"2020-11-08","38.44","70.62"
"2020-11-09","37.98","71.51"
"2020-11-10","37.57","72.38"
"2020-11-11","37.19","73.21"
"2020-11-12","36.84","74.02"
"2020-11-13","36.52","74.82"
"2020-11-14","36.23","75.60"
"2020-11-15","35.95","76.33"
"2020-11-16","35.67","76.99"
"2020-11-17","35.44","77.69"
"2020-11-18","35.25","78.40"
"2020-11-19","35.07","79.10"
"2020-11-20","34.91","79.77"
"2020-11-21","34.70","80.31"
"2020-11-22","34.54","80.92"
"2020-11-23","34.35","81.40"
"2020-11-24","34.13","81.73"
"2020-11-25","30.18","84.05"
"2020-11-26","30.20","84.34"
"2020-11-27","30.27","84.76"
"2020-11-28","30.35","85.20"
"2020-11-29","30.40","85.53"
"2020-11-30","30.47","85.94"
"2020-12-01","30.57","86.38"
"2020-12-02","30.69","86.85"
"2020-12-03","30.80","87.31"
"2020-12-04","30.88","87.65"
"2020-12-05","30.99","88.09"
"2020-12-06","31.10","88.54"
"2020-12-07","31.19","88.92"
"2020-12-08","31.32","89.38"
"2020-12-09","31.45","89.83"
"2020-12-10","31.57","90.23"
"2020-12-11","31.73","90.74"
"2020-12-12","31.88","91.22"
"2020-12-13","32.02","91.66"
"2020-12-14","32.16","92.09"
"2020-12-15","32.31","92.56"
"2020-12-16","32.45","93.00"
"2020-12-17","32.58","93.41"
"2020-12-18","32.70","93.78"
"2020-12-19","32.67","93.99"
"2020-12-20","32.64","94.10"
"2020-12-21","32.71","94.33"
"2020-12-22","32.82","94.62"
"2020-12-23","32.95","94.98"
"2020-12-24","33.07","95.30"
"2020-12-25","33.21","95.68"
"2020-12-26","33.33","95.99"
"2020-12-27","33.46","96.29"
"2020-12-28","33.57","96.60"
"2020-12-29","33.70","96.90"
"2020-12-30","33.83","97.22"
"2020-12-31","33.96","97.53"
"2021-01-01","34.09","97.83"
"2021-01-02","34.21","98.08"
"2021-01-03","34.34","98.38"
"2021-01-04","34.44","98.61"
"2021-01-05","34.55","98.84"
"2021-01-06","34.68","99.11"
"2021-01-07","34.81","99.40"
"2021-01-08","34.96","99.72"
"2021-01-09","35.07","99.90"
"2021-01-10","35.16","100.06"
"2021-01-11","35.24","100.18"
"2021-01-12","35.33","100.31"
"2021-01-13","35.44","100.54"
"2021-01-14","35.59","100.82"
"2021-01-15","35.71","101.07"
"2021-01-16","35.83","101.25"
"2021-01-17","35.97","101.54"
"2021-01-18","36.08","101.73"
"2021-01-19","36.19","101.92"
"2021-01-20","36.29","102.05"
"2021-01-21","36.36","102.14"
"2021-01-22","36.45","102.24"
"2021-01-23","36.58","102.46"
"2021-01-24","36.69","102.63"
"2021-01-25","36.80","102.79"
"2021-01-26","36.93","103.00"
"2021-01-27","37.06","103.20"
"2021-01-28","37.19","103.39"
"2021-01-29","37.31","103.59"
"2021-01-30","37.42","103.72"
"2021-01-31","37.54","103.89"
"2021-02-01","37.66","104.05"
"2021-02-02","37.79","104.24"
"2021-02-03","37.91","104.42"
"2021-02-04","38.03","104.58"
"2021-02-05","38.15","104.75"
"2021-02-06","38.29","104.95"
"2021-02-07","38.43","105.14"
"2021-02-08","38.54","105.26"
"2021-02-09","38.66","105.42"
"2021-02-10","38.79","105.59"
"2021-02-11","38.89","105.67"
"2021-02-12","38.98","105.76"
"2021-02-13","39.08","105.82"
"2021-02-14","39.14","105.79"
"2021-02-15","39.21","105.77"
"2021-02-16","39.29","105.80"
"2021-02-17","39.38","105.85"
"2021-02-18","39.52","106.02"
"2021-02-19","39.64","106.16"
"2021-02-20","39.72","106.17"
"2021-02-21","39.85","106.32"
"2021-02-22","39.93","106.34"
"2021-02-23","40.05","106.44"
"2021-02-24","40.19","106.62"
"2021-02-25","40.30","106.72"
"2021-02-26","40.41","106.77"
"2021-02-27","40.53","106.90"
"2021-02-28","40.63","106.96"
"2021-03-01","40.70","106.94"
"2021-03-02","40.82","107.05"
"2021-03-03","40.88","107.02"
"2021-03-04","40.95","107.00"
"2021-03-05","41.08","107.10"
"2021-03-06","41.21","107.23"
"2021-03-07","41.35","107.37"
"2021-03-08","41.47","107.47"
"2021-03-09","41.62","107.64"
"2021-03-10","41.75","107.74"
"2021-03-11","41.87","107.83"
"2021-03-12","41.99","107.89"
"2021-03-13","42.10","107.95"
"2021-03-14","42.22","108.02"
"2021-03-15","42.34","108.09"
"2021-03-16","42.47","108.19"
"2021-03-17","42.58","108.23"
"2021-03-18","42.70","108.30"
"2021-03-19","42.82","108.36"
"2021-03-20","42.93","108.41"
"2021-03-21","43.06","108.51"
"2021-03-22","43.17","108.55"
"2021-03-23","43.36","108.79"
"2021-03-24","43.51","108.93"
"2021-03-25","43.62","108.97"
"2021-03-26","43.75","109.07"
"2021-03-27","43.89","109.16"
"2021-03-28","44.04","109.29"
"2021-03-29","44.19","109.43"
"2021-03-30","44.32","109.50"
"2021-03-31","44.44","109.56"
"2021-04-01","44.57","109.64"
"2021-04-02","44.72","109.75"
"2021-04-03","44.83","109.79"
"2021-04-04","44.97","109.91"
"2021-04-05","45.12","110.03"
"2021-04-06","45.26","110.15"
"2021-04-07","45.40","110.27"
"2021-04-08","45.55","110.38"
"2021-04-09","45.68","110.50"
"2021-04-10","45.83","110.66"
"2021-04-11","45.98","110.80"
"2021-04-12","46.05","110.76"
"2021-04-13","46.21","110.95"
"2021-04-14","46.34","111.07"
"2021-04-15","46.47","111.18"
"2021-04-16","46.66","111.34"
"2021-04-17","46.92","111.50"
"2021-04-18","47.15","111.64"
"2021-04-19","47.39","111.76"
"2021-04-20","47.63","111.91"
"2021-04-21","47.85","112.00"
"2021-04-22","48.11","112.19"
"2021-04-23","48.36","112.38"
"2021-04-24","48.59","112.49"
"2021-04-25","48.78","112.53"
"2021-04-26","49.00","112.63"
"2021-04-27","49.21","112.72"
"2021-04-28","49.37","112.71"
"2021-04-29","49.54","112.71"
"2021-04-30","49.76","112.83"
"2021-05-01","49.97","112.93"
"2021-05-02","50.16","112.99"
"2021-05-03","50.32","112.97"
"2021-05-04","50.51","113.02"
"2021-05-05","50.71","113.10"
"2021-05-06","50.87","113.08"
"2021-05-07","51.03","113.08"
"2021-05-08","51.19","113.05"
"2021-05-09","51.35","113.05"
"2021-05-10","51.51","113.05"
"2021-05-11","51.67","113.03"
"2021-05-12","51.83","113.05"
"2021-05-13","52.00","113.06"
"2021-05-14","52.20","113.15"
"2021-05-15","52.40","113.24"
"2021-05-16","52.56","113.26"
"2021-05-17","52.74","113.30"
