stateTime,Protocol Circulating Supply,Total FIL Mined,Total FIL Vested,Fil Reserve Disbursed,Total FIL Burned,Total FIL Locked
"2020-10-15","8.52","6.76","0.30","17.07",-3.54,-12.08
"2020-10-16","9.29","6.91","1.09","17.07",-3.55,-12.23
"2020-10-17","10.07","7.07","1.88","17.07",-3.55,-12.39
"2020-10-18","10.85","7.22","2.66","17.07",-3.56,-12.54
"2020-10-19","11.62","7.37","3.45","17.07",-3.56,-12.7
"2020-10-20","12.40","7.53","4.23","17.07",-3.57,-12.86
"2020-10-21","13.17","7.68","5.02","17.07",-3.57,-13.03
"2020-10-22","13.94","7.83","5.81","17.07",-3.58,-13.18
"2020-10-23","14.74","7.95","6.59","17.07",-3.59,-13.28
"2020-10-24","15.53","8.07","7.38","17.07",-3.59,-13.39
"2020-10-25","16.32","8.22","8.16","17.07",-3.6,-13.53
"2020-10-26","17.10","8.37","8.95","17.07",-3.71,-13.57
"2020-10-27","17.88","8.52","9.74","17.07",-3.73,-13.71
"2020-10-28","18.66","8.67","10.52","17.07",-3.73,-13.87
"2020-10-29","19.43","8.82","11.31","17.07",-3.74,-14.02
"2020-10-30","20.20","8.98","12.09","17.07",-3.75,-14.18
"2020-10-31","20.98","9.13","12.88","17.07",-3.76,-14.34
"2020-11-01","21.75","9.29","13.67","17.07",-3.76,-14.51
"2020-11-02","22.52","9.45","14.45","17.07",-3.76,-14.68
"2020-11-03","23.30","9.61","15.24","17.07",-3.77,-14.84
"2020-11-04","24.07","9.77","16.02","17.07",-3.77,-15.02
"2020-11-05","24.84","9.94","16.81","17.07",-3.78,-15.19
"2020-11-06","25.61","10.10","17.60","17.07",-3.79,-15.36
"2020-11-07","26.37","10.27","18.38","17.07",-3.79,-15.55
"2020-11-08","27.14","10.43","19.17","17.07",-3.8,-15.73
"2020-11-09","27.90","10.60","19.95","17.07",-3.8,-15.91
"2020-11-10","28.65","10.77","20.74","17.07",-3.81,-16.11
"2020-11-11","29.40","10.93","21.53","17.07",-3.83,-16.29
"2020-11-12","30.14","11.10","22.31","17.07",-3.87,-16.47
"2020-11-13","30.87","11.28","23.10","17.07",-3.91,-16.66
"2020-11-14","31.59","11.45","23.88","17.07",-3.96,-16.84
"2020-11-15","32.32","11.62","24.67","17.07",-4,-17.03
"2020-11-16","33.06","11.79","25.46","17.07",-4.03,-17.22
"2020-11-17","33.78","11.97","26.24","17.07",-4.1,-17.4
"2020-11-18","34.47","12.15","27.03","17.07",-4.17,-17.6
"2020-11-19","35.16","12.33","27.81","17.07",-4.25,-17.8
"2020-11-20","35.85","12.51","28.60","17.07",-4.33,-18
"2020-11-21","36.59","12.70","29.39","17.07",-4.35,-18.21
"2020-11-22","37.29","12.88","30.17","17.07",-4.44,-18.39
"2020-11-23","38.03","13.06","30.96","17.07",-4.46,-18.59
"2020-11-24","38.84","13.25","31.74","17.07",-4.47,-18.76
"2020-11-25","44.57","13.45","37.46","17.07",-4.47,-18.93
"2020-11-26","45.18","13.64","38.10","17.07",-4.48,-19.15
"2020-11-27","45.72","13.84","38.75","17.07",-4.58,-19.35
"2020-11-28","46.25","14.03","39.40","17.07",-4.7,-19.55
"2020-11-29","46.82","14.23","40.05","17.07",-4.75,-19.78
"2020-11-30","47.35","14.43","40.70","17.07",-4.87,-19.97
