month,circulating_fil,mined_fil,vested_fil,locked_fil,burnt_fil,changed_circulating_fil,changed_mined_fil,changed_vested_fil,changed_locked_fil,changed_burnt_fil,avg_price,t (epochs),cumulative simple minting,Incremental simple minting (FIL),Incremental baseline minting (FIL),unlocked rewards (FIL),unlocked rewards (relative to total supply),unlocked rewards ($)
10/31/2020,"20,978,960","9,134,079","12,879,424","14,343,897","3,757,265","20,978,960","5,283,483.98","12,879,424","14,343,897","3,757,265",35.95,190080,"6,821,990.00","2,971,394.00","2,312,089.98","1,651,088.74",0.08%,"59,359,630.09"
11/30/2020,"47,352,691","14,430,273","40,696,407","19,973,144","4,867,464","26,373,730","5,296,194.25","27,816,983","5,629,247","1,110,199",29.70,276480,"9,876,096.00","3,054,106.00","2,242,088.25","2,315,496.20",0.12%,"68,775,463.71"
12/31/2020,"62,327,976","21,164,894","60,788,705","26,856,748","9,835,494","14,975,286","6,734,620.85","20,092,298","6,883,604","4,968,030",27.49,365760,"13,001,688.00","3,125,592.00","3,609,028.85","3,427,028.79",0.17%,"94,207,021.20"
1/31/2021,"77,850,444","29,228,304","80,881,004","34,768,102","14,557,380","15,522,468","8,063,409.77","20,092,298","7,911,354","4,721,887",22.22,455040,"16,096,763.00","3,095,075.00","4,968,334.77","4,684,102.94",0.23%,"104,097,645.76"
2/28/2021,"92,583,995","37,618,571","99,028,886","43,227,604","17,902,478","14,733,551","8,390,266.98","18,147,882","8,459,502","3,345,097",35.44,535680,"18,866,332.00","2,769,569.00","5,620,697.98","5,794,172.04",0.29%,"205,324,084.02"
3/31/2021,"108,725,644","48,317,127","119,121,185","55,271,182","20,508,105","16,141,649","10,698,555.49","20,092,298","12,043,578","2,605,627",69.81,624960,"21,904,146.00","3,037,814.00","7,660,741.49","7,564,295.57",0.38%,"528,090,407.18"
4/30/2021,"119,196,992","59,313,486","134,493,027","67,507,970","24,168,170","10,471,349","10,996,359.46","15,371,842","12,236,788","3,660,065",163.23,711360,"24,815,723.00","2,911,577.00","8,084,782.46","8,664,461.00",0.43%,"1,414,304,756.42"
5/31/2021,"129,067,727","70,548,661","145,809,854","78,317,133","26,040,274","9,870,735","11,235,175.43","11,316,827","10,809,164","1,872,105",111.95,800640,"27,795,449.00","2,979,726.00","8,255,449.43","9,452,406.03",0.47%,"1,058,173,435.15"
6/30/2021,"141,434,606","81,258,605","156,761,622","86,801,697","26,850,544","12,366,879","10,709,943.90","10,951,768","8,484,564","810,270",68.75,887040,"30,651,352.00","2,855,903.00","7,854,040.90","9,940,742.16",0.50%,"683,407,826.26"
7/31/2021,"153,232,723","92,099,174","168,078,450","96,801,079","27,210,441","11,798,117","10,840,568.60","11,316,827","9,999,382","359,897",51.44,976320,"33,574,101.00","2,922,749.00","7,917,819.60","10,395,428.46",0.52%,"534,754,063.06"
8/31/2021,"165,224,920","102,852,263","179,395,277","106,393,696","27,695,543","11,992,198","10,753,088.69","11,316,827","9,592,616","485,102",68.75,1065600,"36,468,313.00","2,894,212.00","7,858,876.69","10,694,807.26",0.53%,"735,308,590.71"
9/30/2021,"177,132,706","113,058,805","190,347,046","115,101,034","28,238,729","11,907,786","10,206,542.55","10,951,768","8,707,339","543,186",78.75,1152000,"39,242,255.00","2,773,942.00","7,432,600.55","10,675,096.28",0.53%,"840,639,974.68"
10/31/2021,"191,079,675","123,432,372","200,235,317","121,060,584","28,594,049","13,946,968","10,373,566.88","9,888,271","5,959,550","355,320",66.88,1241280,"42,081,125.00","2,838,870.00","7,534,696.88","10,647,177.01",0.53%,"712,067,499.32"
