month,token rewards (retro airdrop),$price (assume first day price),$ rewards,rewards in BTC
0,2500000,0.8990080488,2247520.122,81.26
1,2500000,0.8990080488,2247520.122,74.69
2,2500000,0.8990080488,2247520.122,80.41
3,2500000,0.8990080488,2247520.122,85.56
4,2500000,0.8990080488,2247520.122,76.18
5,2500000,0.8990080488,2247520.122,61.56
6,2500000,0.8990080488,2247520.122,53.00
7,10000000,0.8990080488,8990080.488,209.56
8,10000000,0.8990080488,8990080.488,182.60
9,10000000,0.8990080488,8990080.488,133.36
10,10000000,0.8990080488,8990080.488,135.65
11,10000000,0.8990080488,8990080.488,138.19
12,10000000,0.8990080488,8990080.488,136.10
13,10000000,0.8990080488,8990080.488,143.24
14,1666666.667,0.8990080488,1498346.748,24.93
15,1666666.667,0.8990080488,1498346.748,24.89
16,1666666.667,0.8990080488,1498346.748,22.92
