ts_day,num_accounts,rewards_hnt,date
1564358400,37,0,7/29/2019
1564444800,42,5,7/30/2019
1564531200,42,5,7/31/2019
1564617600,42,7,8/1/2019
1564704000,51,6,8/2/2019
1564790400,60,214,8/3/2019
1564876800,64,694,8/4/2019
1564963200,65,660,8/5/2019
1565049600,65,432,8/6/2019
1565136000,65,"7,326",8/7/2019
1565222400,66,"41,667",8/8/2019
1565308800,71,"31,250",8/9/2019
1565395200,73,"48,611",8/10/2019
1565481600,73,"59,028",8/11/2019
1565568000,72,"69,444",8/12/2019
1565654400,74,"27,778",8/13/2019
1565740800,74,"69,444",8/14/2019
1565827200,75,"72,917",8/15/2019
1565913600,76,"83,333",8/16/2019
1566000000,77,"76,389",8/17/2019
1566086400,77,"79,861",8/18/2019
1566172800,79,"83,333",8/19/2019
1566259200,80,"41,667",8/20/2019
1566345600,78,"13,889",8/21/2019
1566432000,78,"6,944",8/22/2019
1566518400,87,"13,889",8/23/2019
1566604800,93,"48,611",8/24/2019
1566691200,95,"34,722",8/25/2019
1566777600,95,"41,667",8/26/2019
1566864000,97,"24,306",8/27/2019
1566950400,97,"27,778",8/28/2019
1567036800,98,"72,917",8/29/2019
1567123200,101,"45,139",8/30/2019
1567209600,101,"45,139",8/31/2019
1567296000,101,"69,444",9/1/2019
1567382400,100,"97,222",9/2/2019
1567468800,99,"86,806",9/3/2019
1567555200,100,"76,389",9/4/2019
1567641600,100,"104,167",9/5/2019
1567728000,100,"125,000",9/6/2019
1567814400,102,"128,472",9/7/2019
1567900800,101,"118,056",9/8/2019
1567987200,101,"107,639",9/9/2019
1568073600,101,"97,222",9/10/2019
1568160000,102,"128,472",9/11/2019
1568246400,102,"128,472",9/12/2019
1568332800,104,"138,889",9/13/2019
1568419200,109,"107,639",9/14/2019
1568505600,108,"111,111",9/15/2019
1568592000,110,"128,472",9/16/2019
1568678400,112,"145,833",9/17/2019
1568764800,115,"131,944",9/18/2019
1568851200,117,"145,833",9/19/2019
1568937600,128,"135,417",9/20/2019
1569024000,132,"145,833",9/21/2019
1569110400,134,"145,833",9/22/2019
1569196800,135,"125,000",9/23/2019
1569283200,133,"128,472",9/24/2019
1569369600,140,"125,000",9/25/2019
1569456000,143,"93,750",9/26/2019
1569542400,144,"138,889",9/27/2019
1569628800,146,"145,833",9/28/2019
1569715200,147,"145,833",9/29/2019
1569801600,145,"145,833",9/30/2019
1569888000,147,"145,833",10/1/2019
1569974400,151,"121,528",10/2/2019
1570060800,155,"104,167",10/3/2019
1570147200,158,"114,583",10/4/2019
1570233600,155,"118,056",10/5/2019
1570320000,153,"142,361",10/6/2019
1570406400,154,"142,361",10/7/2019
1570492800,154,"121,528",10/8/2019
1570579200,157,"135,417",10/9/2019
1570665600,157,"121,528",10/10/2019
1570752000,99,"31,250",10/11/2019
1570838400,111,"74,479",10/12/2019
1570924800,113,"121,354",10/13/2019
1571011200,128,"114,410",10/14/2019
1571097600,151,"107,639",10/15/2019
1571184000,156,"111,111",10/16/2019
1571270400,163,"93,750",10/17/2019
1571356800,169,"76,389",10/18/2019
1571443200,182,"59,028",10/19/2019
1571529600,197,"62,500",10/20/2019
1571616000,207,"59,028",10/21/2019
1571702400,233,"65,972",10/22/2019
1571788800,243,"65,972",10/23/2019
1571875200,255,"86,806",10/24/2019
1571961600,273,"86,806",10/25/2019
1572048000,300,"100,694",10/26/2019
1572134400,303,"83,333",10/27/2019
1572220800,299,"111,111",10/28/2019
1572307200,304,"86,806",10/29/2019
1572393600,351,"93,750",10/30/2019
1572480000,399,"79,861",10/31/2019
1572566400,393,"53,646",11/1/2019
1572652800,246,"29,861",11/2/2019
1572739200,443,"65,972",11/3/2019
1572825600,460,"62,500",11/4/2019
1572912000,525,"59,028",11/5/2019
1572998400,537,"69,444",11/6/2019
1573084800,567,"79,861",11/7/2019
1573171200,596,"59,028",11/8/2019
1573257600,654,"83,333",11/9/2019
1573344000,673,"93,750",11/10/2019
1573430400,682,"65,972",11/11/2019
1573516800,693,"90,278",11/12/2019
1573603200,698,"62,500",11/13/2019
1573689600,707,"76,389",11/14/2019
1573776000,710,"72,917",11/15/2019
1573862400,725,"76,389",11/16/2019
1573948800,735,"72,917",11/17/2019
1574035200,747,"76,389",11/18/2019
1574121600,752,"67,326",11/19/2019
1574208000,764,"82,326",11/20/2019
1574294400,760,"76,979",11/21/2019
1574380800,772,"69,965",11/22/2019
1574467200,781,"68,299",11/23/2019
1574553600,781,"78,542",11/24/2019
1574640000,777,"64,861",11/25/2019
1574726400,791,"67,257",11/26/2019
1574812800,801,"61,736",11/27/2019
1574899200,663,"39,583",11/28/2019
1574985600,536,"27,188",11/29/2019
1575072000,646,"39,653",11/30/2019
1575158400,378,"121,944",12/1/2019
1575244800,703,"87,396",12/2/2019
1575331200,805,"101,389",12/3/2019
1575417600,844,"105,243",12/4/2019
1575504000,855,"103,750",12/5/2019
1575590400,868,"77,743",12/6/2019
1575676800,883,"113,681",12/7/2019
1575763200,896,"119,236",12/8/2019
1575849600,902,"135,556",12/9/2019
1575936000,932,"108,785",12/10/2019
1576022400,944,"99,826",12/11/2019
1576108800,970,"129,306",12/12/2019
1576195200,993,"146,979",12/13/2019
1576281600,"1,006","142,535",12/14/2019
1576368000,"1,008","143,368",12/15/2019
1576454400,"1,022","140,312",12/16/2019
1576540800,"1,031","148,785",12/17/2019
1576627200,"1,039","66,875",12/18/2019
1576800000,"1,082","234,271",12/20/2019
1576886400,"1,086","146,979",12/21/2019
1576972800,"1,086","145,937",12/22/2019
1577059200,"1,093","143,750",12/23/2019
1577145600,"1,103","130,139",12/24/2019
1577232000,"1,102","148,125",12/25/2019
1577318400,"1,104","137,917",12/26/2019
1577404800,"1,108","142,326",12/27/2019
1577491200,"1,110","137,535",12/28/2019
1577577600,"1,124","149,236",12/29/2019
1577664000,"1,138","140,451",12/30/2019
1577750400,"1,148","137,500",12/31/2019
1577836800,"1,161","131,701",1/1/2020
1577923200,"1,167","111,528",1/2/2020
1578009600,"1,169","128,056",1/3/2020
1578096000,"1,179","144,479",1/4/2020
1578182400,"1,197","129,271",1/5/2020
1578268800,"1,218","99,931",1/6/2020
1578355200,"1,242","87,535",1/7/2020
1578441600,"1,239","66,146",1/8/2020
1578528000,"1,271","112,569",1/9/2020
1578614400,"1,160","137,708",1/10/2020
1578700800,"1,299","137,118",1/11/2020
1578787200,"1,317","75,035",1/12/2020
1578873600,"1,332","74,167",1/13/2020
1578960000,"1,339","66,319",1/14/2020
1579046400,"1,347","64,132",1/15/2020
1579132800,"1,356","65,694",1/16/2020
1579219200,"1,375","70,069",1/17/2020
1579305600,"1,408","147,674",1/18/2020
1579392000,"1,411","123,958",1/19/2020
1579478400,"1,426","125,000",1/20/2020
1579564800,"1,429","123,437",1/21/2020
1579651200,"1,438","114,653",1/22/2020
1579737600,"1,445","75,660",1/23/2020
1579824000,"1,450","102,257",1/24/2020
1579910400,"1,446","96,215",1/25/2020
1579996800,"1,443","74,931",1/26/2020
1580083200,"1,457","76,806",1/27/2020
1580169600,"1,469","92,361",1/28/2020
1580256000,"1,434","136,181",1/29/2020
1580342400,"1,473","113,472",1/30/2020
1580428800,"1,478","124,201",1/31/2020
1580515200,"1,473","137,396",2/1/2020
1580601600,"1,475","149,097",2/2/2020
1580688000,"1,476","138,229",2/3/2020
1580774400,"1,473","133,472",2/4/2020
1580860800,"1,479","145,382",2/5/2020
1580947200,"1,482","142,535",2/6/2020
1581033600,"1,482","126,632",2/7/2020
1581120000,"1,487","141,806",2/8/2020
1581206400,"1,483","116,285",2/9/2020
1581292800,"1,486","143,646",2/10/2020
1581379200,"1,484","113,507",2/11/2020
1581465600,"1,482","137,326",2/12/2020
1581552000,"1,479","144,514",2/13/2020
1581638400,"1,476","164,583",2/14/2020
1581724800,"1,477","166,875",2/15/2020
1581811200,"1,483","162,813",2/16/2020
1581897600,"1,477","150,417",2/17/2020
1581984000,"1,473","153,889",2/18/2020
1582070400,"1,478","166,354",2/19/2020
1582156800,"1,495","167,743",2/20/2020
1582243200,"1,496","152,326",2/21/2020
1582329600,"1,496","163,333",2/22/2020
1582416000,"1,493","153,507",2/23/2020
1582502400,"1,490","151,215",2/24/2020
1582588800,"1,497","147,049",2/25/2020
1582675200,"1,498","158,021",2/26/2020
1582761600,"1,501","155,764",2/27/2020
1582848000,"1,500","161,146",2/28/2020
1582934400,"1,492","140,694",2/29/2020
1583020800,"1,492","161,806",3/1/2020
1583107200,"1,495","160,625",3/2/2020
1583193600,"1,498","154,063",3/3/2020
