month,num_accounts claiming,token rewards (HOPR),token rewards (relative to maximum supply),$-price,token rewards ($),num nodes (via https://network.hoprnet.org/),num_nodes that claimed stake rewards,used number nodes
2021-07,116,"6,381.32",0.00%,0.24,"1,529.91",,29,29
2021-08,315,"111,736.55",0.01%,0.29,"32,853.28",,78,78
2021-09,348,"170,137.47",0.02%,0.28,"48,068.44",,87,87
2021-10,363,"245,053.46",0.02%,0.26,"63,132.09",,90,90
2021-11,394,"274,078.39",0.03%,0.3,"82,845.93",,98,98
2021-12,355,"299,658.26",0.03%,0.24,"72,541.59",,88,88
2022-01,755,"1,966,725.58",0.20%,0.22,"439,733.26",,188,188
2022-02,471,"449,339.08",0.04%,0.27,"120,636.93",,117,117
2022-03,382,"566,199.50",0.06%,0.17,"94,723.38",,95,95
2022-04,639,"1,024,311.88",0.10%,0.18,"180,561.41",,159,159
2022-05,452,"585,973.80",0.06%,0.14,"83,691.37",,180,180
2022-06,372,"412,523.07",0.04%,0.13,"52,518.58",,171,171
2022-07,560,"1,045,829.93",0.10%,0.11,"114,029.20",,225,225
2022-08,337,"409,627.91",0.04%,0.09,"34,982.22",,108,108
2022-09,315,"572,962.89",0.06%,0.07,"38,229.99",141,69,141
2022-10,556,"1,116,893.85",0.11%,0.06,"69,452.78",88,136,136
2022-11,331,"438,736.03",0.04%,0.06,"25,475.94",166,120,166
2022-12,284,"522,797.06",0.05%,0.06,"29,767.39",200,81,200
2023-01,500,"1,031,441.35",0.10%,0.06,"59,910.11",218,179,218
2023-02,332,"391,488.62",0.04%,0.07,"26,180.80",287,213,287
2023-03,233,432792.2154,0.04%,0.07,"28,913.31",275,222,275
2023-04,233,654453.4169,0.06%,0.06,"40,938.98",353,192,353
2023-05,233,355496.1197,0.04%,0.06,"19,881.06",377,81,377
2023-06,233,331000.6452,0.03%,0.05,"16,229.37",,,
2023-07,233,536421.7787,0.05%,0.05,"26,195.56",,,
2023-08,233,287581.4217,0.03%,0.05,"13,077.68",,,
2023-09,239,229794.2851,0.02%,0.04,"9,947.24",,,
2023-10,300,9582.86508,0.00%,0.04,374.66,,,
2023-11,311,7337.171962,0.00%,0.04,277.19,,,
2023-12,320,47757.77342,0.00%,0.06,"2,740.87",,,
2024-01,268,7722.759647,0.00%,0.07,514.4,,,
2024-02,281,5781.127069,0.00%,0.07,390.62,,,
2024-03,363,18520.51769,0.00%,0.17,"3,065.20",,,
2024-04,371,,0.00%,0.13,0,,,
2024-05,381,,0.00%,0.1,0,,,
2024-06,375,,0.00%,0.08,0,,,
2024-07,372,,0.00%,0.06,0,,,
2024-08,329,,0.00%,0.06,0,,,
2024-09,370,,0.00%,0.06,0,,,
2024-10,415,150.9126043,0.00%,0.06,9.48,,,
2024-11,210,1887.518766,0.00%,0.11,199.2,,,
