year_month,token rewards (LPT),token rewards relative to maximum supply,$-price,token rewards total (USD),token rewards total (BTC),token rewards cut orchestrator (LPT),token rewards cut orchestrator (USD),stake_total,circulating supply,stake rate,Fees (ETH),FEES (USD),#orchestrators (getting rewards),#tickets
2018-5,"52,323",0.07%,3.00,"$156,969",19,"4,186","$12,558","45,403","10,024,576.98",0%,0,0,14,0
2018-6,"80,949",0.11%,3.00,"$242,847",36,"6,476","$19,428","197,119","10,092,352.02",2%,0,0,18,0
2018-7,"109,712",0.15%,3.00,"$329,135",47,"8,777","$26,331","398,171","10,188,248.15",3%,0,0,14,0
2018-8,"144,917",0.20%,3.00,"$434,752",65,"11,593","$34,780","670,905","10,315,577.16",6%,0,0,24,0
2018-9,"174,651",0.24%,3.00,"$523,953",79,"13,972","$41,916","1,121,127","10,474,981.23",10%,0,0,27,0
2018-10,"220,723",0.30%,3.00,"$662,169",102,"17,658","$52,974","1,861,952","10,671,478.49",17%,0,0,22,0
2018-11,"245,918",0.33%,3.00,"$737,755",134,"19,673","$59,020","2,174,281","10,905,689.65",19%,0,0,21,0
2018-12,"293,609",0.40%,3.07,"$941,241",255,"23,489","$75,299","2,558,955","11,174,119.23",22%,0,0,18,0
2019-1,"300,633",0.41%,2.58,"$769,119",210,"24,051","$61,530","2,990,984","11,475,963.79",26%,0,0,21,0
2019-2,"253,050",0.34%,4.95,"$1,245,697",339,"20,244","$99,656","3,417,338","11,754,237.16",29%,0,0,26,0
2019-3,"438,168",0.59%,6.95,"$3,038,537",773,"35,053","$243,083","3,877,107","12,095,529.11",32%,0,0,44,0
2019-4,"476,639",0.64%,7.34,"$3,483,092",681,"38,131","$278,647","4,457,083","12,557,432.78",35%,0,0,42,0
2019-5,"591,371",0.80%,7.19,"$4,223,816",587,"47,310","$337,905","5,105,748","13,092,181.99",39%,0,0,38,0
2019-6,"631,423",0.85%,6.37,"$4,043,594",433,"50,514","$323,488","5,784,428","13,702,645.58",42%,0,0,44,0
2019-7,"741,107",1.00%,6.30,"$4,669,027",436,"59,289","$373,522","6,733,131","14,389,320.46",46%,0,0,42,0
2019-8,"777,209",1.05%,6.67,"$5,173,631",486,"62,177","$413,891","7,838,106","15,157,599.20",51%,0,0,38,0
2019-9,"767,349",1.04%,4.70,"$3,602,521",366,"61,388","$288,202","8,859,330","15,931,517.14",55%,0,0,35,0
2019-10,"745,137",1.01%,2.81,"$2,053,157",246,"59,611","$164,253","9,901,058","16,685,542.08",59%,0,0,28,0
2019-11,"646,260",0.87%,2.13,"$1,378,859",164,"51,701","$110,309","10,893,478","17,383,027.56",62%,0,0,28,0
2019-12,"595,156",0.80%,1.47,"$874,693",120,"47,612","$69,975","11,540,609","18,005,596.62",64%,0,0,28,0
2020-1,"646,637",0.87%,1.90,"$1,197,751",144,"52,009","$96,625","12,099,942","18,610,616.55",64%,2.9,496.8,44,281
2020-2,"607,256",0.82%,1.81,"$1,099,585",114,"50,956","$92,286","12,681,765","19,253,434.48",65%,3.2,700.5,43,289
2020-3,"596,049",0.81%,0.92,"$553,916",80,"50,092","$46,486","13,202,311","19,852,801.43",65%,3.5,605.7,41,201
2020-4,"510,182",0.69%,0.58,"$295,968",41,"42,008","$24,320","13,768,417","20,403,274.93",67%,0.2,26.9,42,11
2020-5,"454,036",0.61%,1.57,"$713,897",77,"41,713","$66,443","14,294,709","20,886,054.78",68%,0.4,93.1,39,23
2020-6,"390,965",0.53%,2.81,"$1,098,004",116,"40,117","$112,848","14,580,402","21,307,951.08",68%,0.7,163.6,36,38
