month,token rewards (NU),token rewards (relative to total supply),avg $-price,token rewards ($),# active workers,Claimed WorkLock rewards (NU),Total NU rewards claimed,Total NU rewards relative to total supply
2020-10,"12,909,035.87",0.33%,0.15,"1,893,707",1944,"223,569,791.37","236,478,827.24",6.08%
2020-11,"26,201,223.71",0.67%,0.08,"2,077,980",1988,"396,411.50","26,597,635.21",0.68%
2020-12,"26,181,081.21",0.67%,0.20,"5,211,237",2008,"45,000.00","26,226,081.21",0.67%
2021-1,"25,857,869.80",0.66%,0.20,"5,111,147",1883,"130,275.35","25,988,145.15",0.67%
2021-2,"23,803,309.59",0.61%,0.62,"14,810,981",1027,"68,797.77","23,872,107.36",0.61%
2021-3,"25,552,326.64",0.66%,0.62,"15,949,301",1198,"15,000.00","25,567,326.64",0.66%
2021-4,"23,936,887.86",0.62%,0.54,"13,217,373",2044,"497,833.07","24,434,720.93",0.63%
2021-5,"25,092,863.98",0.65%,0.39,"11,257,870",1876,0.00,"25,092,863.98",0.65%
2021-6,"24,634,587.68",0.63%,0.29,"8,273,620",1570,"29,165.34","24,663,753.02",0.63%
2021-7,"30,920,551.92",0.79%,0.22,"7,961,955",1183,0.00,"30,920,551.92",0.79%
2021-8,"24,904,539.45",0.64%,0.28,"5,177,705",558,0.00,"24,904,539.45",0.64%
2021-9,"30,373,885.72",0.78%,0.32,"9,284,345",395,"17,833.07","30,391,718.79",0.78%
2021-10,"24,433,306.67",0.63%,0.75,"7,453,340",389,0.00,"24,433,306.67",0.63%
2021-11,"25,538,732.79",0.66%,0.90,"17,790,568",229,0.00,"25,538,732.79",0.66%
2021-12,"31,549,033.89",0.81%,0.78,"28,569,948",178,0.00,"31,549,033.89",0.81%
