Month,token rewards (NYM),token rewards (relative to total supply),avg. $-price,token rewards ($),token rewards (BTC),nodecount,Maximum rewards (NYM)
2022-5,"157,301",0.02%,0.69,"75,340",2.36,103,"5,001,388"
2022-6,"440,798",0.04%,0.43,"156,042",6.29,146,"4,901,332"
2022-7,"718,071",0.07%,0.37,"269,512",12.58,187,"4,803,279"
2022-8,"809,197",0.08%,0.46,"306,366",13.62,249,"4,707,186"
2022-9,"883,094",0.09%,0.31,"265,880",13.41,298,"4,613,017"
2022-10,"895,442",0.09%,0.28,"252,458",12.87,346,"4,520,731"
2022-11,"904,456",0.09%,0.28,"197,010",11.12,395,"4,430,291"
2022-12,"949,901",0.09%,0.2,"168,236",9.92,452,"4,341,660"
2023-1,"1,044,499",0.10%,0.18,"221,380",11.04,481,"4,254,803"
2023-2,"1,396,926",0.14%,0.27,"411,479",17.65,512,"4,169,683"
2023-3,"2,004,434",0.20%,0.26,"512,725",20.52,535,"4,086,267"
2023-4,"1,656,737",0.17%,0.24,"378,885",13.14,549,"4,003,657"
2023-5,"1,713,249",0.17%,0.22,"320,705",11.63,600,"3,923,584"
2023-6,"1,657,983",0.17%,0.21,"339,821",12.29,606,"3,845,112"
2023-7,"1,713,249",0.17%,0.18,"334,341",11.11,600,"3,768,210"
2023-8,"1,713,249",0.17%,0.20,"274,399",9.82,630,"3,692,846"
2023-9,"1,657,983",0.17%,0.12,"192,242",7.32,650,"3,618,989"
2023-10,"1,713,249",0.17%,0.11,"189,025",6.41,700,"3,546,609"
2023-11,"1,657,983",0.17%,0.13,"258,578",7.08,700,"3,475,677"
2023-12,"1,713,249",0.17%,0.16,"300,161",7.08,700,"3,406,163"
2024-1,"1,713,249",0.17%,0.20,"351,629",8.20,700,"3,338,040"
2024-2,"1,602,717",0.16%,0.19,"321,511",6.53,700,"3,271,279"
2024-3,"1,713,249",0.17%,0.22,"445,612",6.61,700,"3,205,853"
2024-4,"1,657,983",0.17%,0.26,"338,771",5.11,700,"3,141,736"
2024-5,"1,713,249",0.17%,0.16,"278,075",4.27,700,"3,078,902"
2024-6,"1,657,983",0.17%,0.17,"240,501",3.64,700,"3,017,324"
2024-7,"1,713,249",0.17%,0.13,"190,291",3.03,775,"2,956,977"
2024-8,"1,713,249",0.17%,0.10,"155,864",2.59,750,"2,897,838"
2024-9,"1,657,983",0.17%,0.08,"132,877",2.21,700,"2,839,881"
2024-10,"1,713,249",0.17%,0.08,"146,789",2.25,600,"2,783,083"
2024-11,"1,657,983",0.17%,0.06,"201,488",2.35,550,"2,727,422"
2024-12,"1,713,249",0.17%,0.11,"140,240",1.43,520,"2,672,873"
2025-1,"1,713,249",0.17%,0.10,"179,217",1.99,522,"2,619,416"
