,service_domain,quarter,num_nodes_final,total_rewards,total_rewards_dollar,total_rewards_dollar_fixed,total_relays,avg_stake,rewards_per_node_final,rewards_per_node_final_fixed,active
0,a1deploy.tech,20231,2.0,35.769681,2.1797165002990377,1.07309043,150028.0,18025.159744408946,0.5449291250747594,0.2682726075,0.0
1,aapokt.com,20231,40.0,117422.10348,7143.947965350949,3522.6631044,246879860.0,46529.74189556389,62.12128665522564,30.63185308173913,1.0
2,allchainedup.com,20231,12.0,3037.592249,190.22191687128333,91.12776747,3214272.0,60000.0,6.340730562376111,3.037592249,1.0
3,althaea.xyz,20231,15.0,1263.390015,74.36573253421807,37.90170045,1805546.0,66051.21951219514,5.720440964170621,2.9155154192307693,0.0
4,angryinfra.com,20231,13.0,417.963955,25.808861618420433,12.53891865,434503.0,67872.18045112783,1.4338256454678018,0.6966065916666666,1.0
5,anonstake.com,20231,2.0,157.285732,10.39134700885368,4.71857196,677159.0,17528.155339805824,2.59783675221342,1.17964299,0.0
6,apes.capital,20231,,29.297718,1.79329357412429,0.87893154,124438.0,,0.896646787062145,0.43946577,
7,bargsystems.com,20231,38.0,122627.47525,7488.481745867791,3678.8242575,148479879.0,66687.4428754814,74.14338362245337,36.42400254950495,1.0
8,bignodeapp.com,20231,,377942.1634,22960.66665440064,11338.264901999999,456065707.0,,102.04740735289174,50.39228845333333,
9,bitcat365.com,20231,,991.847852,60.614342188303524,29.75543556,1147598.0,,20.204780729434507,9.918478519999999,
10,blackholestake.io,20231,218.0,248867.418839,15132.224427157586,7466.022565169999,1096147710.0,17732.81280373226,23.280345272550132,11.486188561799999,1.0
11,blockchain.info,20231,2.0,39.268995000000004,2.459533930073687,1.17806985,164211.0,14866.600790513834,0.8198446433578956,0.39268995,1.0
12,blockspaces.global,20231,978.0,1825881.331985,110528.06610823545,54776.43995955,4581995087.0,37513.244860381485,41.771755898804024,20.70160240345805,1.0
13,blockzero.tech,20231,2.0,31.125969,1.8712067059994781,0.9337790699999999,129606.0,18025.159744408946,0.3742413411998956,0.186755814,0.0
14,blokhub.org,20231,542.0,1997455.646502,121553.72648422733,59923.669395059995,2844124933.0,58714.88799121789,76.30491304722368,37.616867165762706,1.0
