month,token rewards all (POKT),share rewards service nodes,token rewards (POKT) service nodes,token rewards (BTC) service nodes,token rewards (POKT) validators,token rewards (POKT) DAO,"token rewards (POKT, service nodes) relative to est. total supply",$-price,"token rewards ($, service nodes)",total supply POKT,total relays,total rewards (POKT)/relay,baseRelaysPerPokt,RelaysToTokenMultiplier,#nodes
2020-07-01,3,0.89,3,0.00,0,0,0.00%,0.2,0.52,650000000,336,0.008630952381,167,10000,71
2020-08-01,"80,231",0.89,"71,406",1.23,802,"8,023",0.00%,0.2,"14,281",650000000,"9,014,743",0.008899943126,167,10000,153
2020-09-01,"278,576",0.89,"247,933",4.65,"2,786","27,858",0.01%,0.2,"49,586",651000000,"31,300,887",0.008899929897,167,10000,258
2020-10-01,"1,734,962",0.89,"1,544,116",26.20,"17,350","173,496",0.04%,0.2,"308,823",652000000,"194,939,428",0.008900007648,167,10000,442
2020-11-01,"1,732,886",0.89,"1,542,269",18.75,"17,329","173,289",0.04%,0.2,"308,454",654000000,"194,706,478",0.008899988936,167,10000,608
2020-12-01,"735,697",0.89,"654,770",6.04,"7,357","73,570",0.02%,0.2,"130,954",655000000,"82,662,598",0.008900000941,167,10000,586
2021-01-01,"1,240,205",0.89,"1,103,782",6.37,"12,402","124,021",0.03%,0.2,"220,757",657000000,"139,348,936",0.008899996911,167,10000,1232
2021-02-01,"1,035,926",0.89,"921,974",4.02,"10,359","103,593",0.02%,0.2,"184,395",658000000,"116,396,230",0.00889999616,167,10000,2185
2021-03-01,"1,313,946",0.89,"1,169,412",4.29,"13,139","131,395",0.03%,0.2,"233,882",659000000,"147,634,359",0.008899998678,167,10000,2992
2021-04-01,"1,215,639",0.89,"1,081,919",3.79,"12,156","121,564",0.03%,0.2,"216,384",661000000,"136,588,819",0.008899992026,167,10000,3374
2021-05-01,"1,221,145",0.89,"1,086,819",4.61,"12,211","122,114",0.03%,0.2,"217,364",662000000,"137,207,274",0.008899999719,167,10000,4920
2021-06-01,"1,102,460",0.89,"981,189",5.46,"11,025","110,246",0.03%,0.2,"196,238",663000000,"123,872,043",0.008899987223,167,10000,5121
2021-07-01,"1,975,270",0.89,"1,757,990",10.26,"19,753","197,527",0.05%,0.2,"351,598",665000000,"221,940,190",0.008900011755,167,10000,3343
2021-08-01,"5,399,830",0.89,"4,805,849",42.19,"53,998","539,983",0.12%,0.4,"1,922,340",672000000,"606,721,853",0.008900009408,526,10000,4571
2021-09-01,"7,577,649",0.89,"6,744,108",58.54,"75,776","757,765",0.17%,0.4,"2,697,643",680000000,"851,421,664",0.008899995408,526,10000,6342
2021-10-01,"16,048,214",0.89,"14,282,910",99.38,"160,482","1,604,821",0.37%,0.4,"5,713,164",700000000,"1,803,169,772",0.008900001458,526,10000,8315
2021-11-01,"29,553,196",0.89,"26,302,344",172.52,"295,532","2,955,320",0.67%,0.4,"10,520,938",732000000,"3,320,584,247",0.008899998856,526,10000,13452
2021-12-01,"47,841,167",0.89,"42,578,639",342.53,"478,412","4,784,117",1.09%,0.4,"17,031,456",787000000,"5,375,411,680",0.008900000641,526,10000,18103
2022-01-01,"83,469,079",0.89,"74,287,480","3,326.59","834,691","8,346,908",1.90%,1.85,"137,767,159",882000000,"9,378,548,498",0.008899999698,526,10000,25386
2022-02-01,"69,575,458",0.89,"61,922,158","1,764.63","695,755","6,957,546",1.59%,1.16,"71,729,260",959000000,"7,827,793,478",0.008888259213,1337,10000,33245
2022-03-01,"86,552,202",0.89,"77,031,460","1,514.53","865,522","8,655,220",1.97%,0.79,"63,455,070",1059000000,"11,871,116,503",0.0072909909,3507,10000,40073
2022-04-01,"91,490,721",0.89,"81,426,742","1,535.47","914,907","9,149,072",2.09%,0.79,"64,053,724",1159000000,"21,606,452,815",0.004234416532,25000,10000,44706
2022-05-01,"71,644,120",0.89,"63,763,267",593.08,"716,441","7,164,412",1.63%,0.3,"18,945,947",1238000000,"26,946,769,969",0.002658727565,100000,8461,46791
2022-06-01,"49,822,852",0.89,"44,342,338",248.04,"2,491,143","2,989,371",1.14%,0.14,"6,151,788",1295000000,"26,558,102,203",0.001875994449,200000,4847,41472
2022-07-01,"43,596,882",0.85,"37,057,350",163.23,"2,179,844","4,359,688",0.95%,0.09,"3,498,358",1345000000,"30,604,170,984",0.001424540538,200000,2988,35747
