month,node operator rewards + compute client rewards per RNP 006,node operator,comoute client,comment,$ price,rewards $,rewards BTC,rewards claimed,# nodes
2023-11,"342,840",,,from polygon data,$2.80,"$958,610",26.26,"342,840.20",300
2023-12,"127,090",,,from polygon data,$4.20,"$533,368",12.58,"127,089.87",294
2024-01,"285,213",190142,95071,,$4.07,"$2,084,686",48.59,"512,832.41",2145
2024-2,"285,213",190142,95071,,$5.63,"$1,798,727",36.54,"319,756.77",452
2024-03,"285,213",190142,95071,,$10.40,"$1,951,488",28.95,"187,593.77",266
2024-4,"285,213",190142,95071,,$8.87,"$3,345,531",50.48,"377,198.53",1108
2024-05,"215,142",190142,25000,,$10.00,"$5,580,309",85.78,"558,207.63",747
2024-6,"215,142",190142,25000,RNP 13 in effect,$8.51,"$2,313,920",35.03,"272,008.70",846
2024-07,"110,000",85000,25000,,$6.60,"$752,623",11.99,"114,117.86",218
2024-8,"110,000",85000,25000,,$5.02,"$301,003",5.01,"59,995.12",196
2024-09,"110,000",85000,25000,,$5.35,"$435,178",7.23,"81,359.87",198
2024-10,"110,000",85000,25000,,$5.30,"$435,059",6.66,"82,040.87",199
2024-11,"110,000",85000,25000,,$6.53,"$455,174",5.31,"69,691.00",198
2024-12,"105,000",85000,20000,RNP retro says 0.64 compute client and 1.55 NO,$8.44,"$532,633",5.41,"63,130.00",205
2025-01,"105,000",85000,20000,,$7.38,"$553,725",5.55,"75,000.00",204
